order_id,product,region,sales,order_date
1001,Monitor,South,1306,26-12-2024
1002,Mouse,West,1731,07-10-2024
1003,Monitor,North,265,02-07-2024
1004,Keyboard,South,214,30-07-2024
1005,Headphones,South,1602,21-02-2024
1006,Keyboard,North,845,20-11-2024
1007,Mouse,East,308,31-10-2024
1008,Headphones,North,1284,29-07-2024
1009,Headphones,North,312,07-04-2024
1010,Keyboard,West,128,30-01-2024
1011,Monitor,North,672,30-10-2024
1012,Monitor,North,709,13-11-2024
1013,Mouse,South,1077,21-05-2024
1014,Monitor,East,230,07-04-2024
1015,Mouse,South,240,15-02-2024
1016,Keyboard,East,1671,15-01-2024
1017,Keyboard,North,1417,19-04-2024
1018,Monitor,West,511,12-03-2024
1019,Keyboard,East,779,07-10-2024
1020,Monitor,North,921,09-06-2024
1021,Keyboard,East,1122,24-07-2024
1022,Keyboard,East,1313,12-06-2024
1023,Headphones,East,116,18-08-2024
1024,Mouse,North,1461,04-06-2024
1025,Laptop,South,1338,07-10-2024
1026,Monitor,East,1084,12-01-2024
1027,Mouse,West,581,17-09-2024
1028,Keyboard,North,101,10-04-2024
1029,Monitor,South,1357,13-01-2024
1030,Monitor,South,1737,24-10-2024
1031,Mouse,South,167,08-12-2024
1032,Keyboard,West,1535,29-10-2024
1033,Mouse,East,354,14-06-2024
1034,Keyboard,East,819,12-07-2024
1035,Laptop,East,110,03-11-2024
1036,Headphones,South,898,30-10-2024
1037,Laptop,South,1772,30-10-2024
1038,Keyboard,East,692,10-04-2024
1039,Mouse,East,863,10-01-2024
1040,Keyboard,South,175,21-07-2024
1041,Keyboard,East,1828,14-12-2024
1042,Monitor,North,427,05-10-2024
1043,Headphones,North,1336,19-05-2024
1044,Headphones,East,1914,26-05-2024
1045,Monitor,West,845,24-01-2024
1046,Headphones,South,520,12-04-2024
1047,Keyboard,North,1144,06-03-2024
1048,Headphones,East,1126,25-04-2024
1049,Keyboard,North,417,02-05-2024
1050,Laptop,South,757,13-12-2024
1051,Headphones,North,85,31-12-2024
1052,Laptop,East,1199,02-08-2024
1053,Mouse,North,648,08-03-2024
1054,Headphones,West,1676,25-06-2024
1055,Keyboard,East,1114,21-12-2024
1056,Laptop,East,1580,20-03-2024
1057,Keyboard,East,1617,15-01-2024
1058,Laptop,South,1492,12-04-2024
1059,Mouse,South,571,20-01-2024
1060,Laptop,West,1960,07-09-2024
1061,Headphones,South,523,04-07-2024
1062,Monitor,East,861,19-11-2024
1063,Keyboard,South,990,14-05-2024
1064,Mouse,West,983,19-03-2024
1065,Monitor,North,1574,06-12-2024
1066,Keyboard,South,825,28-11-2024
1067,Mouse,East,1854,16-09-2024
1068,Monitor,North,121,24-12-2024
1069,Keyboard,North,1176,07-02-2024
1070,Monitor,South,359,15-01-2024
1071,Keyboard,East,1236,04-02-2024
1072,Headphones,North,1512,15-10-2024
1073,Headphones,West,665,14-05-2024
1074,Monitor,South,1666,23-08-2024
1075,Mouse,North,195,22-11-2024
1076,Headphones,East,1882,22-02-2024
1077,Headphones,North,208,03-03-2024
1078,Monitor,East,1777,22-08-2024
1079,Mouse,East,1059,21-05-2024
1080,Laptop,East,916,27-10-2024
1081,Headphones,East,1681,09-12-2024
1082,Laptop,North,132,19-02-2024
1083,Headphones,East,1287,12-07-2024
1084,Headphones,East,327,07-07-2024
1085,Mouse,North,326,21-06-2024
1086,Mouse,West,1069,03-03-2024
1087,Headphones,East,175,05-04-2024
1088,Laptop,West,825,23-06-2024
1089,Laptop,West,1047,12-03-2024
1090,Laptop,West,569,02-09-2024
1091,Headphones,West,964,31-10-2024
1092,Laptop,South,82,17-03-2024
1093,Headphones,North,1135,30-03-2024
1094,Mouse,East,547,03-06-2024
1095,Keyboard,West,194,01-09-2024
1096,Monitor,West,1043,06-01-2024
1097,Laptop,North,943,09-12-2024
1098,Monitor,East,1376,08-06-2024
1099,Monitor,West,468,01-01-2024
1100,Monitor,South,1509,25-02-2024
1101,Laptop,East,326,06-04-2024
1102,Mouse,North,1322,20-05-2024
1103,Mouse,South,1809,03-09-2024
1104,Keyboard,West,1651,26-02-2024
1105,Keyboard,North,181,04-06-2024
1106,Monitor,North,121,24-01-2024
1107,Monitor,West,1154,15-01-2024
1108,Mouse,East,1504,04-01-2024
1109,Headphones,South,636,29-07-2024
1110,Headphones,West,1223,12-09-2024
1111,Monitor,North,568,27-08-2024
1112,Mouse,North,1584,20-01-2024
1113,Laptop,West,1562,25-09-2024
1114,Keyboard,North,440,06-09-2024
1115,Laptop,East,1490,28-05-2024
1116,Laptop,North,1615,10-03-2024
1117,Monitor,South,1609,18-07-2024
1118,Headphones,South,327,03-01-2024
1119,Headphones,East,181,06-07-2024
1120,Mouse,West,1351,25-10-2024
1121,Mouse,West,124,19-09-2024
1122,Keyboard,North,665,29-01-2024
1123,Keyboard,East,1935,12-08-2024
1124,Mouse,North,533,08-07-2024
1125,Mouse,West,137,22-02-2024
1126,Laptop,South,383,01-08-2024
1127,Mouse,South,1357,30-06-2024
1128,Laptop,North,616,16-12-2024
1129,Monitor,East,1226,24-11-2024
1130,Mouse,South,1234,19-07-2024
1131,Monitor,West,385,16-12-2024
1132,Monitor,East,1277,19-12-2024
1133,Mouse,North,1372,18-08-2024
1134,Laptop,North,1638,27-05-2024
1135,Headphones,West,1875,03-10-2024
1136,Monitor,East,1856,28-01-2024
1137,Mouse,South,649,29-07-2024
1138,Headphones,West,488,29-12-2024
1139,Keyboard,West,1500,10-06-2024
1140,Keyboard,East,1557,25-02-2024
1141,Keyboard,North,1443,14-08-2024
1142,Monitor,West,559,17-11-2024
1143,Headphones,North,931,19-05-2024
1144,Laptop,South,1277,17-08-2024
1145,Laptop,North,1690,03-04-2024
1146,Headphones,North,396,24-08-2024
1147,Headphones,West,1174,04-05-2024
1148,Mouse,West,1478,24-03-2024
1149,Laptop,South,1756,06-06-2024
1150,Monitor,North,1417,25-12-2024
1151,Monitor,West,1209,27-12-2024
1152,Monitor,West,565,13-06-2024
1153,Keyboard,West,1343,25-06-2024
1154,Keyboard,South,1851,19-10-2024
1155,Keyboard,North,330,03-08-2024
1156,Monitor,West,682,21-11-2024
1157,Keyboard,South,1160,16-11-2024
1158,Headphones,North,209,20-10-2024
1159,Headphones,North,522,16-04-2024
1160,Keyboard,West,1025,30-11-2024
1161,Laptop,North,998,29-09-2024
1162,Mouse,East,1166,16-12-2024
1163,Monitor,South,267,19-02-2024
1164,Monitor,North,1735,27-09-2024
1165,Keyboard,North,558,24-05-2024
1166,Headphones,North,659,02-01-2024
1167,Monitor,East,1745,29-08-2024
1168,Laptop,East,825,25-12-2024
1169,Keyboard,West,887,27-08-2024
1170,Laptop,North,485,11-08-2024
1171,Monitor,East,378,27-10-2024
1172,Keyboard,North,1615,15-03-2024
1173,Mouse,South,1270,19-04-2024
1174,Mouse,South,1682,21-04-2024
1175,Mouse,North,1023,02-02-2024
1176,Keyboard,South,324,15-05-2024
1177,Monitor,South,1152,06-04-2024
1178,Keyboard,East,1095,23-06-2024
1179,Monitor,South,1114,26-05-2024
1180,Laptop,West,536,01-04-2024
1181,Headphones,South,1717,10-11-2024
1182,Laptop,South,1571,07-04-2024
1183,Mouse,East,1602,02-10-2024
1184,Keyboard,South,1193,11-02-2024
1185,Headphones,North,1241,20-06-2024
1186,Laptop,North,1028,02-02-2024
1187,Laptop,South,1554,09-02-2024
1188,Mouse,South,1598,22-10-2024
1189,Monitor,East,469,06-11-2024
1190,Mouse,East,998,30-11-2024
1191,Mouse,South,1866,12-02-2024
1192,Headphones,North,1741,03-05-2024
1193,Headphones,South,231,27-04-2024
1194,Headphones,North,1809,04-09-2024
1195,Monitor,South,1688,04-10-2024
1196,Laptop,West,1120,09-05-2024
1197,Headphones,East,1364,03-01-2024
1198,Mouse,East,1703,21-06-2024
1199,Headphones,West,1362,13-06-2024
1200,Mouse,North,77,26-09-2024
1201,Laptop,East,679,21-09-2024
1202,Mouse,South,1010,23-01-2024
1203,Mouse,West,1266,29-08-2024
1204,Monitor,North,117,19-03-2024
1205,Headphones,East,1882,05-02-2024
1206,Headphones,West,594,09-08-2024
1207,Laptop,West,50,13-03-2024
1208,Monitor,West,306,06-07-2024
1209,Keyboard,East,507,11-10-2024
1210,Headphones,South,1976,22-02-2024
1211,Laptop,West,1819,19-11-2024
1212,Mouse,South,359,25-08-2024
1213,Headphones,East,373,15-09-2024
1214,Monitor,West,529,15-03-2024
1215,Headphones,South,1503,16-02-2024
1216,Mouse,West,1975,05-12-2024
1217,Monitor,North,379,05-09-2024
1218,Monitor,East,1732,24-09-2024
1219,Keyboard,South,1829,20-07-2024
1220,Mouse,North,681,27-02-2024
1221,Headphones,North,418,12-07-2024
1222,Monitor,East,1268,27-12-2024
1223,Laptop,North,732,09-12-2024
1224,Keyboard,East,480,28-02-2024
1225,Monitor,South,847,08-02-2024
1226,Keyboard,West,1833,27-03-2024
1227,Keyboard,East,606,20-10-2024
1228,Laptop,East,1423,08-12-2024
1229,Keyboard,South,1047,16-05-2024
1230,Laptop,East,1137,09-10-2024
1231,Keyboard,West,1221,25-10-2024
1232,Monitor,East,1056,08-06-2024
1233,Headphones,East,895,05-01-2024
1234,Keyboard,West,1942,23-07-2024
1235,Keyboard,South,820,10-07-2024
1236,Laptop,West,1036,10-12-2024
1237,Monitor,East,1117,28-06-2024
1238,Mouse,South,661,21-10-2024
1239,Mouse,East,331,08-10-2024
1240,Keyboard,East,1504,11-10-2024
1241,Mouse,East,1054,17-06-2024
1242,Keyboard,South,1671,02-11-2024
1243,Keyboard,East,283,25-06-2024
1244,Monitor,North,1619,27-07-2024
1245,Laptop,South,451,11-11-2024
1246,Monitor,North,1682,05-10-2024
1247,Headphones,South,1808,01-02-2024
1248,Laptop,North,1053,17-02-2024
1249,Mouse,South,1747,12-08-2024
1250,Monitor,North,1454,09-12-2024
1251,Keyboard,West,1355,15-05-2024
1252,Keyboard,East,1426,02-10-2024
1253,Keyboard,East,117,10-01-2024
1254,Laptop,North,669,10-04-2024
1255,Keyboard,North,458,21-01-2024
1256,Monitor,South,619,17-08-2024
1257,Headphones,West,1455,11-03-2024
1258,Monitor,North,1240,07-08-2024
1259,Headphones,East,788,17-06-2024
1260,Headphones,East,1192,26-04-2024
1261,Headphones,North,897,09-10-2024
1262,Keyboard,East,142,13-11-2024
1263,Monitor,South,1014,12-11-2024
1264,Keyboard,West,544,08-11-2024
1265,Keyboard,West,1269,27-04-2024
1266,Laptop,South,266,01-10-2024
1267,Monitor,East,1307,24-06-2024
1268,Laptop,East,1105,18-06-2024
1269,Keyboard,East,1787,04-02-2024
1270,Monitor,North,900,04-03-2024
1271,Monitor,North,359,01-07-2024
1272,Keyboard,East,273,22-08-2024
1273,Headphones,East,1307,23-08-2024
1274,Mouse,East,62,03-08-2024
1275,Headphones,South,350,30-01-2024
1276,Keyboard,East,763,15-02-2024
1277,Headphones,West,137,29-05-2024
1278,Keyboard,South,1495,15-08-2024
1279,Mouse,West,1296,10-07-2024
1280,Monitor,West,1297,01-04-2024
1281,Headphones,North,878,05-02-2024
1282,Mouse,West,1812,25-01-2024
1283,Monitor,East,1800,24-06-2024
1284,Keyboard,East,810,02-11-2024
1285,Laptop,West,1075,03-06-2024
1286,Monitor,North,1815,26-05-2024
1287,Headphones,North,1760,30-05-2024
1288,Keyboard,South,466,26-03-2024
1289,Mouse,West,349,23-02-2024
1290,Mouse,East,694,21-08-2024
1291,Laptop,South,1551,03-06-2024
1292,Keyboard,South,868,15-08-2024
1293,Monitor,East,408,16-08-2024
1294,Laptop,North,1445,09-06-2024
1295,Keyboard,North,1069,11-12-2024
1296,Headphones,East,377,13-12-2024
1297,Headphones,East,891,24-03-2024
1298,Keyboard,West,1215,11-03-2024
1299,Mouse,West,811,27-03-2024
1300,Headphones,South,278,12-09-2024
1301,Headphones,South,145,16-11-2024
1302,Headphones,North,1173,12-09-2024
1303,Headphones,South,1014,12-11-2024
1304,Headphones,West,337,15-12-2024
1305,Laptop,South,1883,03-10-2024
1306,Monitor,South,405,08-09-2024
1307,Headphones,West,1034,15-08-2024
1308,Laptop,West,853,21-04-2024
1309,Headphones,East,282,05-02-2024
1310,Mouse,East,88,22-06-2024
1311,Laptop,North,100,28-03-2024
1312,Laptop,East,1378,04-10-2024
1313,Laptop,South,328,06-07-2024
1314,Keyboard,South,1792,31-12-2024
1315,Mouse,East,1495,11-10-2024
1316,Keyboard,South,681,21-06-2024
1317,Headphones,East,642,09-08-2024
1318,Keyboard,East,1699,14-04-2024
1319,Keyboard,West,1248,13-03-2024
1320,Keyboard,West,333,24-11-2024
1321,Headphones,South,1725,30-10-2024
1322,Keyboard,West,1131,13-09-2024
1323,Laptop,East,1194,08-07-2024
1324,Laptop,South,1850,18-02-2024
